Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
86,-0.002,-0.069,-0.565,-0.002,0.124,0.052,0.721,1.0,0.01,-0.005,-0.006,0.0,0.019,0.005,-0.008,0.425,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,-0.005,-0.002,-0.567,-0.007,0.124,0.053,0.721,1.0,0.011,-0.008,-0.007,-0.006,0.024,0.002,0.021,-0.169,-0.076,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,-0.004,0.032,-0.566,-0.005,0.124,0.054,0.721,1.0,0.011,-0.015,-0.007,-0.008,0.02,0.01,-0.004,-0.336,-0.035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-0.0,0.072,-0.563,-0.005,0.123,0.054,0.722,1.0,0.01,-0.025,-0.008,-0.007,0.022,0.003,-0.009,-0.479,-0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.012,-0.029,-0.556,-0.005,0.123,0.055,0.722,1.0,0.008,-0.017,-0.008,-0.002,0.022,-0.006,-0.078,0.358,-0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-0.006,-0.023,-0.557,-0.01,0.123,0.056,0.721,1.0,0.01,-0.014,-0.009,-0.001,0.022,-0.017,0.066,0.2,-0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,-0.011,-0.037,-0.557,0.002,0.123,0.056,0.721,1.0,0.011,-0.007,-0.007,-0.003,0.015,-0.019,0.063,0.167,0.083,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-0.011,-0.001,-0.559,-0.003,0.123,0.056,0.72,1.0,0.012,-0.01,-0.007,-0.005,0.014,-0.015,0.027,-0.122,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,-0.007,-0.004,-0.557,-0.002,0.123,0.057,0.72,1.0,0.012,-0.01,-0.007,-0.005,0.008,-0.017,-0.025,-0.096,0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-0.006,-0.026,-0.56,-0.002,0.123,0.057,0.719,1.0,0.011,-0.011,-0.007,0.003,0.005,-0.006,-0.022,0.133,0.009,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.01,-0.02,-0.56,0.0,0.123,0.057,0.719,1.0,0.009,-0.01,-0.006,0.002,0.007,-0.007,-0.128,0.045,0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.01,0.042,-0.555,-0.004,0.123,0.058,0.718,1.0,0.008,-0.017,-0.007,-0.004,0.013,-0.02,-0.073,-0.387,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.001,0.029,-0.558,-0.002,0.123,0.058,0.718,1.0,0.008,-0.018,-0.007,-0.004,0.007,-0.004,0.003,-0.229,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,-0.01,-0.01,-0.559,-0.002,0.123,0.058,0.718,1.0,0.011,-0.016,-0.007,0.002,0.008,-0.0,0.035,0.114,0.009,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.008,-0.077,-0.564,0.006,0.123,0.058,0.719,1.0,0.01,-0.008,-0.006,0.004,-0.001,0.011,-0.157,0.589,0.134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
