Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
84,-0.016,-0.057,-0.456,-0.005,0.134,0.065,0.542,1.0,0.008,-0.013,-0.004,0.039,0.001,-0.012,0.162,0.354,-0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-0.012,-0.072,-0.46,-0.009,0.135,0.065,0.541,1.0,0.009,-0.008,-0.006,0.052,-0.004,-0.018,0.082,0.322,-0.107,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.018,0.035,-0.46,-0.0,0.136,0.065,0.541,1.0,0.007,-0.018,-0.005,0.032,-0.006,-0.009,-0.177,-0.419,0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.023,0.038,-0.46,-0.003,0.137,0.065,0.541,1.0,0.005,-0.021,-0.006,0.02,-0.004,0.004,-0.16,-0.323,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.005,0.018,-0.456,0.002,0.137,0.064,0.54,1.0,0.006,-0.022,-0.005,0.002,-0.0,-0.006,0.002,-0.029,0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.004,-0.012,-0.454,0.001,0.137,0.064,0.54,1.0,0.007,-0.02,-0.005,0.007,-0.007,-0.011,-0.039,0.207,0.049,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,-0.028,-0.018,-0.459,-0.004,0.138,0.064,0.541,1.0,0.012,-0.016,-0.005,0.015,-0.008,0.0,0.14,0.115,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-0.03,-0.013,-0.461,-0.003,0.139,0.063,0.541,1.0,0.012,-0.016,-0.005,0.026,-0.01,0.004,0.148,0.022,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.007,-0.001,-0.462,-0.003,0.14,0.063,0.541,1.0,0.01,-0.017,-0.005,0.026,-0.015,0.009,-0.186,-0.08,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-0.007,-0.0,-0.463,-0.002,0.14,0.062,0.541,1.0,0.01,-0.018,-0.005,0.01,-0.009,0.013,-0.028,-0.0,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
